INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,PRC,OPR_INTERVAL,GROUP
2023-09-18T00:00:00-00:00,2023-09-18T00:15:00-00:00,2023-09-17,18,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,23.36603,1,1
2023-09-18T01:00:00-00:00,2023-09-18T01:15:00-00:00,2023-09-17,19,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,39.92352,1,1
2023-09-18T02:00:00-00:00,2023-09-18T02:15:00-00:00,2023-09-17,20,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,49.3627,1,1
2023-09-18T03:00:00-00:00,2023-09-18T03:15:00-00:00,2023-09-17,21,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,36.45709,1,1
2023-09-18T04:00:00-00:00,2023-09-18T04:15:00-00:00,2023-09-17,22,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,44.22536,1,1
2023-09-18T05:00:00-00:00,2023-09-18T05:15:00-00:00,2023-09-17,23,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,38.22929,1,1
2023-09-18T06:00:00-00:00,2023-09-18T06:15:00-00:00,2023-09-17,24,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,36.20992,1,1
2023-09-18T00:15:00-00:00,2023-09-18T00:30:00-00:00,2023-09-17,18,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,29.79223,2,1
2023-09-18T01:15:00-00:00,2023-09-18T01:30:00-00:00,2023-09-17,19,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,49.01793,2,1
2023-09-18T02:15:00-00:00,2023-09-18T02:30:00-00:00,2023-09-17,20,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,42.35949,2,1
