PNODE_ID,PNODE_TYPE,DESCRIPTION,COMMENTS,EFF_START_DT,EFF_END_DT,EFF_START_DT_GMT,EFF_END_DT_GMT,CB_NODE_FLAG,MAX_CB_MW,MAX_CB_MW_EFF_START_DT,MAX_CB_MW_EFF_END_DT,MAX_CB_MW_EFF_START_DT_GMT,MAX_CB_MW_EFF_END_DT_GMT
RAILROD_LNODE-2,,RAILROD_LNODE-2,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
SAHARA_LNODE-4,,SAHARA_LNODE-4,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
SANFRAN_LNODE-3,,SANFRAN_LNODE-3,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
SLOAN_LNODE-1,,SLOAN_LNODE-1,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
ALTA_LNODE-3,,ALTA_LNODE-3,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
BATLEMT_LNODE67,,BATLEMT_LNODE67,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
VALROAD_LNODE51,,VALROAD_LNODE51,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
WSTSDE_S_LNODE-7,,WSTSDE_S_LNODE-7,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
FALLON_LNODESN,,FALLON_LNODESN,,2020-01-17T00:00:00,2030-12-31T23:59:59,2020-01-17T08:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
FAULKNER_LNODE-2,,FAULKNER_LNODE-2,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
HIGGINS_LNODET1,,HIGGINS_LNODET1,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
H ALLEN_GNODE 3,,H ALLEN_GNODE 3,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
