OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2022-09-01,15,0,2022-09-01T21:00:00-00:00,2022-09-01T22:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1652.41201,ACTUAL,1
2022-09-01,3,0,2022-09-01T09:00:00-00:00,2022-09-01T10:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.61811,ACTUAL,1
2022-09-01,14,0,2022-09-01T20:00:00-00:00,2022-09-01T21:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1680.04303,ACTUAL,1
2022-09-01,13,0,2022-09-01T19:00:00-00:00,2022-09-01T20:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1678.22942,ACTUAL,1
2022-09-01,12,0,2022-09-01T18:00:00-00:00,2022-09-01T19:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1720.45752,ACTUAL,1
2022-09-01,11,0,2022-09-01T17:00:00-00:00,2022-09-01T18:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1735.23135,ACTUAL,1
2022-09-01,10,0,2022-09-01T16:00:00-00:00,2022-09-01T17:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1714.66231,ACTUAL,1
2022-09-01,9,0,2022-09-01T15:00:00-00:00,2022-09-01T16:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1458.53255,ACTUAL,1
2022-09-01,8,0,2022-09-01T14:00:00-00:00,2022-09-01T15:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,606.08373,ACTUAL,1
2022-09-01,7,0,2022-09-01T13:00:00-00:00,2022-09-01T14:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,10.21772,ACTUAL,1
2022-09-01,6,0,2022-09-01T12:00:00-00:00,2022-09-01T13:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.76609,ACTUAL,1
2022-09-01,5,0,2022-09-01T11:00:00-00:00,2022-09-01T12:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.62334,ACTUAL,1
2022-09-01,4,0,2022-09-01T10:00:00-00:00,2022-09-01T11:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.62132,ACTUAL,1
2022-09-01,2,0,2022-09-01T08:00:00-00:00,2022-09-01T09:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.58513,ACTUAL,1
2022-09-01,24,0,2022-09-02T06:00:00-00:00,2022-09-02T07:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.7029,ACTUAL,1
2022-09-01,23,0,2022-09-02T05:00:00-00:00,2022-09-02T06:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.57172,ACTUAL,1
2022-09-01,22,0,2022-09-02T04:00:00-00:00,2022-09-02T05:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.85878,ACTUAL,1
2022-09-01,21,0,2022-09-02T03:00:00-00:00,2022-09-02T04:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-5.64683,ACTUAL,1
2022-09-01,20,0,2022-09-02T02:00:00-00:00,2022-09-02T03:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,12.31556,ACTUAL,1
2022-09-01,19,0,2022-09-02T01:00:00-00:00,2022-09-02T02:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,532.64555,ACTUAL,1
2022-09-01,18,0,2022-09-02T00:00:00-00:00,2022-09-02T01:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1365.99128,ACTUAL,1
2022-09-01,17,0,2022-09-01T23:00:00-00:00,2022-09-02T00:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1628.95653,ACTUAL,1
2022-09-01,16,0,2022-09-01T22:00:00-00:00,2022-09-01T23:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1724.48828,ACTUAL,1
2022-09-01,3,0,2022-09-01T09:00:00-00:00,2022-09-01T10:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,513.28815,ACTUAL,2
2022-09-01,15,0,2022-09-01T21:00:00-00:00,2022-09-01T22:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,10.59392,ACTUAL,2
2022-09-01,2,0,2022-09-01T08:00:00-00:00,2022-09-01T09:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,619.82027,ACTUAL,2
2022-09-01,8,0,2022-09-01T14:00:00-00:00,2022-09-01T15:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,112.43774,ACTUAL,2
2022-09-01,24,0,2022-09-02T06:00:00-00:00,2022-09-02T07:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,371.3169,ACTUAL,2
2022-09-01,12,0,2022-09-01T18:00:00-00:00,2022-09-01T19:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,-0.08005,ACTUAL,2
2022-09-01,23,0,2022-09-02T05:00:00-00:00,2022-09-02T06:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,335.83842,ACTUAL,2
2022-09-01,7,0,2022-09-01T13:00:00-00:00,2022-09-01T14:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,172.82105,ACTUAL,2
2022-09-01,22,0,2022-09-02T04:00:00-00:00,2022-09-02T05:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,238.91055,ACTUAL,2
2022-09-01,10,0,2022-09-01T16:00:00-00:00,2022-09-01T17:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,14.75892,ACTUAL,2
2022-09-01,21,0,2022-09-02T03:00:00-00:00,2022-09-02T04:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,179.43891,ACTUAL,2
2022-09-01,6,0,2022-09-01T12:00:00-00:00,2022-09-01T13:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,239.23597,ACTUAL,2
2022-09-01,20,0,2022-09-02T02:00:00-00:00,2022-09-02T03:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,124.28417,ACTUAL,2
2022-09-01,13,0,2022-09-01T19:00:00-00:00,2022-09-01T20:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,-0.78628,ACTUAL,2
2022-09-01,19,0,2022-09-02T01:00:00-00:00,2022-09-02T02:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,106.25124,ACTUAL,2
2022-09-01,5,0,2022-09-01T11:00:00-00:00,2022-09-01T12:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,333.5955,ACTUAL,2
2022-09-01,18,0,2022-09-02T00:00:00-00:00,2022-09-02T01:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,76.40647,ACTUAL,2
2022-09-01,9,0,2022-09-01T15:00:00-00:00,2022-09-01T16:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,57.27278,ACTUAL,2
2022-09-01,17,0,2022-09-01T23:00:00-00:00,2022-09-02T00:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,41.26905,ACTUAL,2
2022-09-01,4,0,2022-09-01T10:00:00-00:00,2022-09-01T11:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,369.24662,ACTUAL,2
2022-09-01,16,0,2022-09-01T22:00:00-00:00,2022-09-01T23:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,23.79861,ACTUAL,2
2022-09-01,11,0,2022-09-01T17:00:00-00:00,2022-09-01T18:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,-1.47968,ACTUAL,2
2022-09-01,14,0,2022-09-01T20:00:00-00:00,2022-09-01T21:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,-1.61504,ACTUAL,2
2022-09-01,15,0,2022-09-01T21:00:00-00:00,2022-09-01T22:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,6907.23734,ACTUAL,3
2022-09-01,14,0,2022-09-01T20:00:00-00:00,2022-09-01T21:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,7933.97823,ACTUAL,3
2022-09-01,17,0,2022-09-01T23:00:00-00:00,2022-09-02T00:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,5802.06513,ACTUAL,3
2022-09-01,18,0,2022-09-02T00:00:00-00:00,2022-09-02T01:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,4304.09013,ACTUAL,3
2022-09-01,19,0,2022-09-02T01:00:00-00:00,2022-09-02T02:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1423.92878,ACTUAL,3
2022-09-01,20,0,2022-09-02T02:00:00-00:00,2022-09-02T03:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,140.5616,ACTUAL,3
2022-09-01,21,0,2022-09-02T03:00:00-00:00,2022-09-02T04:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,100.85483,ACTUAL,3
2022-09-01,22,0,2022-09-02T04:00:00-00:00,2022-09-02T05:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,101.30931,ACTUAL,3
2022-09-01,23,0,2022-09-02T05:00:00-00:00,2022-09-02T06:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,22.37497,ACTUAL,3
2022-09-01,24,0,2022-09-02T06:00:00-00:00,2022-09-02T07:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-2.9211,ACTUAL,3
2022-09-01,2,0,2022-09-01T08:00:00-00:00,2022-09-01T09:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-16.1087,ACTUAL,3
2022-09-01,3,0,2022-09-01T09:00:00-00:00,2022-09-01T10:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-16.02364,ACTUAL,3
2022-09-01,4,0,2022-09-01T10:00:00-00:00,2022-09-01T11:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-16.20902,ACTUAL,3
2022-09-01,5,0,2022-09-01T11:00:00-00:00,2022-09-01T12:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-16.40811,ACTUAL,3
2022-09-01,6,0,2022-09-01T12:00:00-00:00,2022-09-01T13:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-16.68224,ACTUAL,3
2022-09-01,7,0,2022-09-01T13:00:00-00:00,2022-09-01T14:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,174.52743,ACTUAL,3
2022-09-01,8,0,2022-09-01T14:00:00-00:00,2022-09-01T15:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,2064.56105,ACTUAL,3
2022-09-01,9,0,2022-09-01T15:00:00-00:00,2022-09-01T16:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,3951.49888,ACTUAL,3
2022-09-01,10,0,2022-09-01T16:00:00-00:00,2022-09-01T17:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,5457.00502,ACTUAL,3
2022-09-01,11,0,2022-09-01T17:00:00-00:00,2022-09-01T18:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,6956.33591,ACTUAL,3
2022-09-01,12,0,2022-09-01T18:00:00-00:00,2022-09-01T19:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,7824.39759,ACTUAL,3
2022-09-01,13,0,2022-09-01T19:00:00-00:00,2022-09-01T20:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,8391.59346,ACTUAL,3
2022-09-01,16,0,2022-09-01T22:00:00-00:00,2022-09-01T23:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,6467.31777,ACTUAL,3
2022-09-01,15,0,2022-09-01T21:00:00-00:00,2022-09-01T22:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,912.553,ACTUAL,4
2022-09-01,16,0,2022-09-01T22:00:00-00:00,2022-09-01T23:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1019.7228,ACTUAL,4
2022-09-01,17,0,2022-09-01T23:00:00-00:00,2022-09-02T00:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1466.83114,ACTUAL,4
2022-09-01,18,0,2022-09-02T00:00:00-00:00,2022-09-02T01:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1692.12169,ACTUAL,4
2022-09-01,19,0,2022-09-02T01:00:00-00:00,2022-09-02T02:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1838.21474,ACTUAL,4
2022-09-01,20,0,2022-09-02T02:00:00-00:00,2022-09-02T03:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1995.66522,ACTUAL,4
2022-09-01,21,0,2022-09-02T03:00:00-00:00,2022-09-02T04:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,2161.97325,ACTUAL,4
2022-09-01,22,0,2022-09-02T04:00:00-00:00,2022-09-02T05:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,2157.46664,ACTUAL,4
2022-09-01,23,0,2022-09-02T05:00:00-00:00,2022-09-02T06:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,2048.83104,ACTUAL,4
