OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2022-12-01,13,0,2022-12-01T20:00:00-00:00,2022-12-01T21:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,281.87,DAM,1
2022-12-01,15,0,2022-12-01T22:00:00-00:00,2022-12-01T23:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,305.79,DAM,1
2022-12-01,12,0,2022-12-01T19:00:00-00:00,2022-12-01T20:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,282.87,DAM,1
2022-12-01,19,0,2022-12-02T02:00:00-00:00,2022-12-02T03:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2022-12-01,11,0,2022-12-01T18:00:00-00:00,2022-12-01T19:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,286.12,DAM,1
2022-12-01,24,0,2022-12-02T07:00:00-00:00,2022-12-02T08:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2022-12-01,10,0,2022-12-01T17:00:00-00:00,2022-12-01T18:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,299.58,DAM,1
2022-12-01,16,0,2022-12-01T23:00:00-00:00,2022-12-02T00:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,158.42,DAM,1
2022-12-01,9,0,2022-12-01T16:00:00-00:00,2022-12-01T17:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,263.61,DAM,1
2022-12-01,23,0,2022-12-02T06:00:00-00:00,2022-12-02T07:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2022-12-01,8,0,2022-12-01T15:00:00-00:00,2022-12-01T16:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,79.31,DAM,1
2022-12-01,18,0,2022-12-02T01:00:00-00:00,2022-12-02T02:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2022-12-01,7,0,2022-12-01T14:00:00-00:00,2022-12-01T15:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0.16,DAM,1
2022-12-01,22,0,2022-12-02T05:00:00-00:00,2022-12-02T06:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2022-12-01,6,0,2022-12-01T13:00:00-00:00,2022-12-01T14:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2022-12-01,14,0,2022-12-01T21:00:00-00:00,2022-12-01T22:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,287.1,DAM,1
2022-12-01,5,0,2022-12-01T12:00:00-00:00,2022-12-01T13:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2022-12-01,21,0,2022-12-02T04:00:00-00:00,2022-12-02T05:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2022-12-01,4,0,2022-12-01T11:00:00-00:00,2022-12-01T12:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2022-12-01,17,0,2022-12-02T00:00:00-00:00,2022-12-02T01:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,13.19,DAM,1
2022-12-01,3,0,2022-12-01T10:00:00-00:00,2022-12-01T11:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2022-12-01,20,0,2022-12-02T03:00:00-00:00,2022-12-02T04:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2022-12-01,2,0,2022-12-01T09:00:00-00:00,2022-12-01T10:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2022-12-01,1,0,2022-12-01T08:00:00-00:00,2022-12-01T09:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2022-12-01,12,0,2022-12-01T19:00:00-00:00,2022-12-01T20:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,325.35,DAM,2
2022-12-01,11,0,2022-12-01T18:00:00-00:00,2022-12-01T19:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,319.26,DAM,2
2022-12-01,10,0,2022-12-01T17:00:00-00:00,2022-12-01T18:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,327.24,DAM,2
2022-12-01,9,0,2022-12-01T16:00:00-00:00,2022-12-01T17:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,425.21,DAM,2
2022-12-01,8,0,2022-12-01T15:00:00-00:00,2022-12-01T16:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,520.51,DAM,2
2022-12-01,7,0,2022-12-01T14:00:00-00:00,2022-12-01T15:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,547.02,DAM,2
2022-12-01,6,0,2022-12-01T13:00:00-00:00,2022-12-01T14:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,573.43,DAM,2
2022-12-01,5,0,2022-12-01T12:00:00-00:00,2022-12-01T13:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,715.52,DAM,2
2022-12-01,4,0,2022-12-01T11:00:00-00:00,2022-12-01T12:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,697.3,DAM,2
2022-12-01,3,0,2022-12-01T10:00:00-00:00,2022-12-01T11:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,645.06,DAM,2
2022-12-01,2,0,2022-12-01T09:00:00-00:00,2022-12-01T10:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,554.17,DAM,2
2022-12-01,1,0,2022-12-01T08:00:00-00:00,2022-12-01T09:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,482.94,DAM,2
2022-12-01,24,0,2022-12-02T07:00:00-00:00,2022-12-02T08:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,234.54,DAM,2
2022-12-01,23,0,2022-12-02T06:00:00-00:00,2022-12-02T07:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,288.93,DAM,2
2022-12-01,22,0,2022-12-02T05:00:00-00:00,2022-12-02T06:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,337.5,DAM,2
2022-12-01,21,0,2022-12-02T04:00:00-00:00,2022-12-02T05:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,317.34,DAM,2
2022-12-01,20,0,2022-12-02T03:00:00-00:00,2022-12-02T04:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,317.39,DAM,2
2022-12-01,19,0,2022-12-02T02:00:00-00:00,2022-12-02T03:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,318.31,DAM,2
2022-12-01,18,0,2022-12-02T01:00:00-00:00,2022-12-02T02:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,283.84,DAM,2
2022-12-01,17,0,2022-12-02T00:00:00-00:00,2022-12-02T01:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,268.22,DAM,2
2022-12-01,16,0,2022-12-01T23:00:00-00:00,2022-12-02T00:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,268.74,DAM,2
2022-12-01,15,0,2022-12-01T22:00:00-00:00,2022-12-01T23:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,262.98,DAM,2
2022-12-01,13,0,2022-12-01T20:00:00-00:00,2022-12-01T21:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,297.59,DAM,2
2022-12-01,14,0,2022-12-01T21:00:00-00:00,2022-12-01T22:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,272.08,DAM,2
2022-12-01,13,0,2022-12-01T20:00:00-00:00,2022-12-01T21:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,4791.5,DAM,3
2022-12-01,15,0,2022-12-01T22:00:00-00:00,2022-12-01T23:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,3857.54,DAM,3
2022-12-01,12,0,2022-12-01T19:00:00-00:00,2022-12-01T20:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,4734.73,DAM,3
2022-12-01,19,0,2022-12-02T02:00:00-00:00,2022-12-02T03:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,3
2022-12-01,11,0,2022-12-01T18:00:00-00:00,2022-12-01T19:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,4762.07,DAM,3
2022-12-01,24,0,2022-12-02T07:00:00-00:00,2022-12-02T08:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,3
2022-12-01,10,0,2022-12-01T17:00:00-00:00,2022-12-01T18:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,4900.53,DAM,3
2022-12-01,16,0,2022-12-01T23:00:00-00:00,2022-12-02T00:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1722.85,DAM,3
2022-12-01,9,0,2022-12-01T16:00:00-00:00,2022-12-01T17:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,4496.47,DAM,3
2022-12-01,23,0,2022-12-02T06:00:00-00:00,2022-12-02T07:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,3
