INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2021-12-31T10:00:00-00:00,2021-12-31T11:00:00-00:00,1,2021-12-31,3,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2777.4,DAM,1
2022-01-01T02:00:00-00:00,2022-01-01T03:00:00-00:00,1,2021-12-31,19,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3466.88,DAM,1
2021-12-31T12:00:00-00:00,2021-12-31T13:00:00-00:00,1,2021-12-31,5,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3020.48,DAM,1
2021-12-31T19:00:00-00:00,2021-12-31T20:00:00-00:00,1,2021-12-31,12,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3255.2,DAM,1
2022-01-01T05:00:00-00:00,2022-01-01T06:00:00-00:00,1,2021-12-31,22,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3177.32,DAM,1
2021-12-31T14:00:00-00:00,2021-12-31T15:00:00-00:00,1,2021-12-31,7,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3352.78,DAM,1
2022-01-01T04:00:00-00:00,2022-01-01T05:00:00-00:00,1,2021-12-31,21,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3283.59,DAM,1
2021-12-31T09:00:00-00:00,2021-12-31T10:00:00-00:00,1,2021-12-31,2,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2764.12,DAM,1
2021-12-31T17:00:00-00:00,2021-12-31T18:00:00-00:00,1,2021-12-31,10,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3300.46,DAM,1
2021-12-31T18:00:00-00:00,2021-12-31T19:00:00-00:00,1,2021-12-31,11,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3276.96,DAM,1
2022-01-01T06:00:00-00:00,2022-01-01T07:00:00-00:00,1,2021-12-31,23,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3078.44,DAM,1
2022-01-01T07:00:00-00:00,2022-01-01T08:00:00-00:00,1,2021-12-31,24,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3004.03,DAM,1
2021-12-31T20:00:00-00:00,2021-12-31T21:00:00-00:00,1,2021-12-31,13,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3290.05,DAM,1
2021-12-31T22:00:00-00:00,2021-12-31T23:00:00-00:00,1,2021-12-31,15,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3275.45,DAM,1
2021-12-31T23:00:00-00:00,2022-01-01T00:00:00-00:00,1,2021-12-31,16,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3289.52,DAM,1
2021-12-31T16:00:00-00:00,2021-12-31T17:00:00-00:00,1,2021-12-31,9,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3325.56,DAM,1
2022-01-01T00:00:00-00:00,2022-01-01T01:00:00-00:00,1,2021-12-31,17,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3447.38,DAM,1
2022-01-01T03:00:00-00:00,2022-01-01T04:00:00-00:00,1,2021-12-31,20,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3374.29,DAM,1
2021-12-31T08:00:00-00:00,2021-12-31T09:00:00-00:00,1,2021-12-31,1,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2805.71,DAM,1
2021-12-31T21:00:00-00:00,2021-12-31T22:00:00-00:00,1,2021-12-31,14,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3282.84,DAM,1
2022-01-01T01:00:00-00:00,2022-01-01T02:00:00-00:00,1,2021-12-31,18,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3539.24,DAM,1
2021-12-31T13:00:00-00:00,2021-12-31T14:00:00-00:00,1,2021-12-31,6,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3229.49,DAM,1
2021-12-31T15:00:00-00:00,2021-12-31T16:00:00-00:00,1,2021-12-31,8,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3334.71,DAM,1
2021-12-31T11:00:00-00:00,2021-12-31T12:00:00-00:00,1,2021-12-31,4,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2853.78,DAM,1
2021-12-31T12:00:00-00:00,2021-12-31T13:00:00-00:00,1,2021-12-31,5,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1612.25,DAM,2
2022-01-01T03:00:00-00:00,2022-01-01T04:00:00-00:00,1,2021-12-31,20,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2064.4,DAM,2
2021-12-31T13:00:00-00:00,2021-12-31T14:00:00-00:00,1,2021-12-31,6,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1699.67,DAM,2
2022-01-01T01:00:00-00:00,2022-01-01T02:00:00-00:00,1,2021-12-31,18,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2173.68,DAM,2
2021-12-31T22:00:00-00:00,2021-12-31T23:00:00-00:00,1,2021-12-31,15,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1856.27,DAM,2
2021-12-31T19:00:00-00:00,2021-12-31T20:00:00-00:00,1,2021-12-31,12,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1926.71,DAM,2
2021-12-31T17:00:00-00:00,2021-12-31T18:00:00-00:00,1,2021-12-31,10,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1968.05,DAM,2
2022-01-01T06:00:00-00:00,2022-01-01T07:00:00-00:00,1,2021-12-31,23,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1839.76,DAM,2
2022-01-01T02:00:00-00:00,2022-01-01T03:00:00-00:00,1,2021-12-31,19,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2152.51,DAM,2
2021-12-31T23:00:00-00:00,2022-01-01T00:00:00-00:00,1,2021-12-31,16,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1877.33,DAM,2
2021-12-31T21:00:00-00:00,2021-12-31T22:00:00-00:00,1,2021-12-31,14,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1874.04,DAM,2
2021-12-31T16:00:00-00:00,2021-12-31T17:00:00-00:00,1,2021-12-31,9,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1958.56,DAM,2
2021-12-31T20:00:00-00:00,2021-12-31T21:00:00-00:00,1,2021-12-31,13,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1899.4,DAM,2
2021-12-31T14:00:00-00:00,2021-12-31T15:00:00-00:00,1,2021-12-31,7,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1816.21,DAM,2
2022-01-01T07:00:00-00:00,2022-01-01T08:00:00-00:00,1,2021-12-31,24,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1768.75,DAM,2
2021-12-31T18:00:00-00:00,2021-12-31T19:00:00-00:00,1,2021-12-31,11,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1965.69,DAM,2
2021-12-31T15:00:00-00:00,2021-12-31T16:00:00-00:00,1,2021-12-31,8,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1906.97,DAM,2
2021-12-31T10:00:00-00:00,2021-12-31T11:00:00-00:00,1,2021-12-31,3,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1575.52,DAM,2
2022-01-01T05:00:00-00:00,2022-01-01T06:00:00-00:00,1,2021-12-31,22,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1910.44,DAM,2
2022-01-01T00:00:00-00:00,2022-01-01T01:00:00-00:00,1,2021-12-31,17,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1986.9,DAM,2
2021-12-31T11:00:00-00:00,2021-12-31T12:00:00-00:00,1,2021-12-31,4,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1570.06,DAM,2
2021-12-31T09:00:00-00:00,2021-12-31T10:00:00-00:00,1,2021-12-31,2,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1605.01,DAM,2
2021-12-31T08:00:00-00:00,2021-12-31T09:00:00-00:00,1,2021-12-31,1,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1663.47,DAM,2
2022-01-01T04:00:00-00:00,2022-01-01T05:00:00-00:00,1,2021-12-31,21,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1986.5,DAM,2
2021-12-31T18:00:00-00:00,2021-12-31T19:00:00-00:00,1,2021-12-31,11,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,259.39,DAM,3
2021-12-31T08:00:00-00:00,2021-12-31T09:00:00-00:00,1,2021-12-31,1,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,239.88,DAM,3
2021-12-31T13:00:00-00:00,2021-12-31T14:00:00-00:00,1,2021-12-31,6,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,229.72,DAM,3
2021-12-31T19:00:00-00:00,2021-12-31T20:00:00-00:00,1,2021-12-31,12,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,253.37,DAM,3
2022-01-01T02:00:00-00:00,2022-01-01T03:00:00-00:00,1,2021-12-31,19,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,288.57,DAM,3
2021-12-31T23:00:00-00:00,2022-01-01T00:00:00-00:00,1,2021-12-31,16,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,249.26,DAM,3
2021-12-31T14:00:00-00:00,2021-12-31T15:00:00-00:00,1,2021-12-31,7,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,240.29,DAM,3
2021-12-31T16:00:00-00:00,2021-12-31T17:00:00-00:00,1,2021-12-31,9,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,253.99,DAM,3
2022-01-01T06:00:00-00:00,2022-01-01T07:00:00-00:00,1,2021-12-31,23,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,248.09,DAM,3
2022-01-01T07:00:00-00:00,2022-01-01T08:00:00-00:00,1,2021-12-31,24,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,239.93,DAM,3
2022-01-01T04:00:00-00:00,2022-01-01T05:00:00-00:00,1,2021-12-31,21,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,260.95,DAM,3
2022-01-01T03:00:00-00:00,2022-01-01T04:00:00-00:00,1,2021-12-31,20,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,273.63,DAM,3
2021-12-31T20:00:00-00:00,2021-12-31T21:00:00-00:00,1,2021-12-31,13,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,250.28,DAM,3
2021-12-31T12:00:00-00:00,2021-12-31T13:00:00-00:00,1,2021-12-31,5,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,222.16,DAM,3
2022-01-01T00:00:00-00:00,2022-01-01T01:00:00-00:00,1,2021-12-31,17,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,265.47,DAM,3
2021-12-31T09:00:00-00:00,2021-12-31T10:00:00-00:00,1,2021-12-31,2,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,230.05,DAM,3
2021-12-31T22:00:00-00:00,2021-12-31T23:00:00-00:00,1,2021-12-31,15,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,248.79,DAM,3
2022-01-01T05:00:00-00:00,2022-01-01T06:00:00-00:00,1,2021-12-31,22,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,253.36,DAM,3
2022-01-01T01:00:00-00:00,2022-01-01T02:00:00-00:00,1,2021-12-31,18,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,292.37,DAM,3
2021-12-31T15:00:00-00:00,2021-12-31T16:00:00-00:00,1,2021-12-31,8,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,247.89,DAM,3
2021-12-31T11:00:00-00:00,2021-12-31T12:00:00-00:00,1,2021-12-31,4,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,220.65,DAM,3
2021-12-31T10:00:00-00:00,2021-12-31T11:00:00-00:00,1,2021-12-31,3,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,224.01,DAM,3
2021-12-31T17:00:00-00:00,2021-12-31T18:00:00-00:00,1,2021-12-31,10,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,258.45,DAM,3
2021-12-31T21:00:00-00:00,2021-12-31T22:00:00-00:00,1,2021-12-31,14,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,249.17,DAM,3
2021-12-31T09:00:00-00:00,2021-12-31T10:00:00-00:00,1,2021-12-31,2,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,95.43,DAM,4
2021-12-31T13:00:00-00:00,2021-12-31T14:00:00-00:00,1,2021-12-31,6,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,102.94,DAM,4
2021-12-31T14:00:00-00:00,2021-12-31T15:00:00-00:00,1,2021-12-31,7,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,112.12,DAM,4
2021-12-31T18:00:00-00:00,2021-12-31T19:00:00-00:00,1,2021-12-31,11,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,120.06,DAM,4
2022-01-01T07:00:00-00:00,2022-01-01T08:00:00-00:00,1,2021-12-31,24,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,103.3,DAM,4
2021-12-31T15:00:00-00:00,2021-12-31T16:00:00-00:00,1,2021-12-31,8,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,120.77,DAM,4
