INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2022-10-02T03:00:00-00:00,2022-10-02T04:00:00-00:00,1,2022-10-01,21,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1027.05,DAM,1
2022-10-01T14:00:00-00:00,2022-10-01T15:00:00-00:00,1,2022-10-01,8,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,974.56,DAM,1
2022-10-01T12:00:00-00:00,2022-10-01T13:00:00-00:00,1,2022-10-01,6,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,843.66,DAM,1
2022-10-01T19:00:00-00:00,2022-10-01T20:00:00-00:00,1,2022-10-01,13,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1051.93,DAM,1
2022-10-01T08:00:00-00:00,2022-10-01T09:00:00-00:00,1,2022-10-01,2,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,795.5,DAM,1
2022-10-01T10:00:00-00:00,2022-10-01T11:00:00-00:00,1,2022-10-01,4,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,781.21,DAM,1
2022-10-01T13:00:00-00:00,2022-10-01T14:00:00-00:00,1,2022-10-01,7,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,910.53,DAM,1
2022-10-02T06:00:00-00:00,2022-10-02T07:00:00-00:00,1,2022-10-01,24,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,857.65,DAM,1
2022-10-02T05:00:00-00:00,2022-10-02T06:00:00-00:00,1,2022-10-01,23,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,911.53,DAM,1
2022-10-01T09:00:00-00:00,2022-10-01T10:00:00-00:00,1,2022-10-01,3,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,781.84,DAM,1
2022-10-02T04:00:00-00:00,2022-10-02T05:00:00-00:00,1,2022-10-01,22,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,972.74,DAM,1
2022-10-01T17:00:00-00:00,2022-10-01T18:00:00-00:00,1,2022-10-01,11,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1069.84,DAM,1
2022-10-02T02:00:00-00:00,2022-10-02T03:00:00-00:00,1,2022-10-01,20,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1073.3,DAM,1
2022-10-01T23:00:00-00:00,2022-10-02T00:00:00-00:00,1,2022-10-01,17,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1022.34,DAM,1
2022-10-01T11:00:00-00:00,2022-10-01T12:00:00-00:00,1,2022-10-01,5,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,798.15,DAM,1
2022-10-01T22:00:00-00:00,2022-10-01T23:00:00-00:00,1,2022-10-01,16,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1013.15,DAM,1
2022-10-01T20:00:00-00:00,2022-10-01T21:00:00-00:00,1,2022-10-01,14,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1033.45,DAM,1
2022-10-01T18:00:00-00:00,2022-10-01T19:00:00-00:00,1,2022-10-01,12,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1065.31,DAM,1
2022-10-02T01:00:00-00:00,2022-10-02T02:00:00-00:00,1,2022-10-01,19,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1061.39,DAM,1
2022-10-02T00:00:00-00:00,2022-10-02T01:00:00-00:00,1,2022-10-01,18,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1032.93,DAM,1
2022-10-01T21:00:00-00:00,2022-10-01T22:00:00-00:00,1,2022-10-01,15,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1017.39,DAM,1
2022-10-01T15:00:00-00:00,2022-10-01T16:00:00-00:00,1,2022-10-01,9,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1036.57,DAM,1
2022-10-01T16:00:00-00:00,2022-10-01T17:00:00-00:00,1,2022-10-01,10,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1066.98,DAM,1
2022-10-01T21:00:00-00:00,2022-10-01T22:00:00-00:00,1,2022-10-01,15,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4886.29,DAM,2
2022-10-01T18:00:00-00:00,2022-10-01T19:00:00-00:00,1,2022-10-01,12,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3877.98,DAM,2
2022-10-02T03:00:00-00:00,2022-10-02T04:00:00-00:00,1,2022-10-01,21,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4598.25,DAM,2
2022-10-01T16:00:00-00:00,2022-10-01T17:00:00-00:00,1,2022-10-01,10,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3436.18,DAM,2
2022-10-01T14:00:00-00:00,2022-10-01T15:00:00-00:00,1,2022-10-01,8,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3225.43,DAM,2
2022-10-01T11:00:00-00:00,2022-10-01T12:00:00-00:00,1,2022-10-01,5,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3175.65,DAM,2
2022-10-02T04:00:00-00:00,2022-10-02T05:00:00-00:00,1,2022-10-01,22,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4348.27,DAM,2
2022-10-02T02:00:00-00:00,2022-10-02T03:00:00-00:00,1,2022-10-01,20,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4837.32,DAM,2
2022-10-02T00:00:00-00:00,2022-10-02T01:00:00-00:00,1,2022-10-01,18,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5343.78,DAM,2
2022-10-01T09:00:00-00:00,2022-10-01T10:00:00-00:00,1,2022-10-01,3,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3313.87,DAM,2
2022-10-01T08:00:00-00:00,2022-10-01T09:00:00-00:00,1,2022-10-01,2,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3456.55,DAM,2
2022-10-02T05:00:00-00:00,2022-10-02T06:00:00-00:00,1,2022-10-01,23,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4105.9,DAM,2
2022-10-01T23:00:00-00:00,2022-10-02T00:00:00-00:00,1,2022-10-01,17,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5328.22,DAM,2
2022-10-02T06:00:00-00:00,2022-10-02T07:00:00-00:00,1,2022-10-01,24,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3832.53,DAM,2
2022-10-01T19:00:00-00:00,2022-10-01T20:00:00-00:00,1,2022-10-01,13,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4227.83,DAM,2
2022-10-02T01:00:00-00:00,2022-10-02T02:00:00-00:00,1,2022-10-01,19,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5177.18,DAM,2
2022-10-01T17:00:00-00:00,2022-10-01T18:00:00-00:00,1,2022-10-01,11,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3621.5,DAM,2
2022-10-01T15:00:00-00:00,2022-10-01T16:00:00-00:00,1,2022-10-01,9,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3313.01,DAM,2
2022-10-01T20:00:00-00:00,2022-10-01T21:00:00-00:00,1,2022-10-01,14,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4576.87,DAM,2
2022-10-01T13:00:00-00:00,2022-10-01T14:00:00-00:00,1,2022-10-01,7,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3195.84,DAM,2
2022-10-01T22:00:00-00:00,2022-10-01T23:00:00-00:00,1,2022-10-01,16,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5139.39,DAM,2
2022-10-01T10:00:00-00:00,2022-10-01T11:00:00-00:00,1,2022-10-01,4,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3216.23,DAM,2
2022-10-01T12:00:00-00:00,2022-10-01T13:00:00-00:00,1,2022-10-01,6,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3175.6,DAM,2
2022-10-01T12:00:00-00:00,2022-10-01T13:00:00-00:00,1,2022-10-01,6,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1398.89,DAM,3
2022-10-02T06:00:00-00:00,2022-10-02T07:00:00-00:00,1,2022-10-01,24,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1702.26,DAM,3
2022-10-01T21:00:00-00:00,2022-10-01T22:00:00-00:00,1,2022-10-01,15,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2257.1,DAM,3
2022-10-01T14:00:00-00:00,2022-10-01T15:00:00-00:00,1,2022-10-01,8,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1493.27,DAM,3
2022-10-01T17:00:00-00:00,2022-10-01T18:00:00-00:00,1,2022-10-01,11,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1743.63,DAM,3
2022-10-01T10:00:00-00:00,2022-10-01T11:00:00-00:00,1,2022-10-01,4,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1412.35,DAM,3
2022-10-02T00:00:00-00:00,2022-10-02T01:00:00-00:00,1,2022-10-01,18,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2563.03,DAM,3
2022-10-01T22:00:00-00:00,2022-10-01T23:00:00-00:00,1,2022-10-01,16,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2413.86,DAM,3
2022-10-01T23:00:00-00:00,2022-10-02T00:00:00-00:00,1,2022-10-01,17,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2523.19,DAM,3
2022-10-01T20:00:00-00:00,2022-10-01T21:00:00-00:00,1,2022-10-01,14,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2100.06,DAM,3
