INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,PRC,OPR_INTERVAL,GROUP
2023-07-01T08:00:00-00:00,2023-07-01T08:15:00-00:00,2023-07-01,02,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,41.6388,1,1
2023-07-01T09:00:00-00:00,2023-07-01T09:15:00-00:00,2023-07-01,03,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,37.53119,1,1
2023-07-01T10:00:00-00:00,2023-07-01T10:15:00-00:00,2023-07-01,04,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,36.94421,1,1
2023-07-01T11:00:00-00:00,2023-07-01T11:15:00-00:00,2023-07-01,05,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,37.20746,1,1
2023-07-01T12:00:00-00:00,2023-07-01T12:15:00-00:00,2023-07-01,06,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,35.17869,1,1
2023-07-01T13:00:00-00:00,2023-07-01T13:15:00-00:00,2023-07-01,07,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,33.99819,1,1
2023-07-01T14:00:00-00:00,2023-07-01T14:15:00-00:00,2023-07-01,08,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,17.03423,1,1
2023-07-01T15:00:00-00:00,2023-07-01T15:15:00-00:00,2023-07-01,09,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,15.17653,1,1
2023-07-01T16:00:00-00:00,2023-07-01T16:15:00-00:00,2023-07-01,10,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,16.66614,1,1
2023-07-01T17:00:00-00:00,2023-07-01T17:15:00-00:00,2023-07-01,11,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,18.27,1,1
2023-07-01T18:00:00-00:00,2023-07-01T18:15:00-00:00,2023-07-01,12,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,24.31646,1,1
2023-07-01T19:00:00-00:00,2023-07-01T19:15:00-00:00,2023-07-01,13,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,24.00448,1,1
2023-07-01T20:00:00-00:00,2023-07-01T20:15:00-00:00,2023-07-01,14,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,22.9804,1,1
2023-07-01T21:00:00-00:00,2023-07-01T21:15:00-00:00,2023-07-01,15,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,24.17497,1,1
2023-07-01T22:00:00-00:00,2023-07-01T22:15:00-00:00,2023-07-01,16,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,25.0036,1,1
2023-07-01T23:00:00-00:00,2023-07-01T23:15:00-00:00,2023-07-01,17,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,26.71036,1,1
2023-07-02T00:00:00-00:00,2023-07-02T00:15:00-00:00,2023-07-01,18,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,32.59903,1,1
2023-07-02T01:00:00-00:00,2023-07-02T01:15:00-00:00,2023-07-01,19,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,30.03989,1,1
