INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,PRC,OPR_INTERVAL,GROUP
2023-06-02T04:00:00-00:00,2023-06-02T04:15:00-00:00,2023-06-01,22,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,40.03745,1,1
2023-06-02T05:00:00-00:00,2023-06-02T05:15:00-00:00,2023-06-01,23,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,31.91218,1,1
2023-06-02T06:00:00-00:00,2023-06-02T06:15:00-00:00,2023-06-01,24,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,26.19299,1,1
2023-06-01T08:15:00-00:00,2023-06-01T08:30:00-00:00,2023-06-01,02,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,25.10429,2,1
2023-06-01T09:15:00-00:00,2023-06-01T09:30:00-00:00,2023-06-01,03,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,27.03335,2,1
2023-06-01T10:15:00-00:00,2023-06-01T10:30:00-00:00,2023-06-01,04,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,26.00594,2,1
2023-06-01T11:15:00-00:00,2023-06-01T11:30:00-00:00,2023-06-01,05,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,27.56245,2,1
2023-06-01T12:15:00-00:00,2023-06-01T12:30:00-00:00,2023-06-01,06,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,31.52766,2,1
2023-06-01T13:15:00-00:00,2023-06-01T13:30:00-00:00,2023-06-01,07,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,31.16378,2,1
2023-06-01T14:15:00-00:00,2023-06-01T14:30:00-00:00,2023-06-01,08,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,20.31497,2,1
2023-06-01T15:15:00-00:00,2023-06-01T15:30:00-00:00,2023-06-01,09,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,15.62536,2,1
2023-06-01T16:15:00-00:00,2023-06-01T16:30:00-00:00,2023-06-01,10,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,14.67246,2,1
2023-06-01T17:15:00-00:00,2023-06-01T17:30:00-00:00,2023-06-01,11,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,15.1806,2,1
2023-06-01T18:15:00-00:00,2023-06-01T18:30:00-00:00,2023-06-01,12,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,18.05705,2,1
2023-06-01T19:15:00-00:00,2023-06-01T19:30:00-00:00,2023-06-01,13,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,16.90284,2,1
2023-06-01T20:15:00-00:00,2023-06-01T20:30:00-00:00,2023-06-01,14,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,16.83739,2,1
2023-06-01T21:15:00-00:00,2023-06-01T21:30:00-00:00,2023-06-01,15,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,16.59154,2,1
2023-06-01T22:15:00-00:00,2023-06-01T22:30:00-00:00,2023-06-01,16,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,16.98948,2,1
2023-06-01T23:15:00-00:00,2023-06-01T23:30:00-00:00,2023-06-01,17,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,17.51864,2,1
2023-06-02T00:15:00-00:00,2023-06-02T00:30:00-00:00,2023-06-01,18,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,12.00896,2,1
2023-06-02T01:15:00-00:00,2023-06-02T01:30:00-00:00,2023-06-01,19,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,19.78488,2,1
2023-06-02T02:15:00-00:00,2023-06-02T02:30:00-00:00,2023-06-01,20,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,27.85117,2,1
2023-06-02T03:15:00-00:00,2023-06-02T03:30:00-00:00,2023-06-01,21,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,31.60871,2,1
2023-06-02T04:15:00-00:00,2023-06-02T04:30:00-00:00,2023-06-01,22,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,39.42774,2,1
2023-06-02T05:15:00-00:00,2023-06-02T05:30:00-00:00,2023-06-01,23,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,28.85356,2,1
2023-06-02T06:15:00-00:00,2023-06-02T06:30:00-00:00,2023-06-01,24,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,23.85995,2,1
2023-06-01T08:30:00-00:00,2023-06-01T08:45:00-00:00,2023-06-01,02,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,23.96899,3,1
2023-06-01T09:30:00-00:00,2023-06-01T09:45:00-00:00,2023-06-01,03,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,25.87564,3,1
2023-06-01T10:30:00-00:00,2023-06-01T10:45:00-00:00,2023-06-01,04,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,25.48025,3,1
2023-06-01T11:30:00-00:00,2023-06-01T11:45:00-00:00,2023-06-01,05,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,28.33624,3,1
2023-06-01T12:30:00-00:00,2023-06-01T12:45:00-00:00,2023-06-01,06,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,39.19063,3,1
2023-06-01T13:30:00-00:00,2023-06-01T13:45:00-00:00,2023-06-01,07,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,25.61783,3,1
2023-06-01T14:30:00-00:00,2023-06-01T14:45:00-00:00,2023-06-01,08,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,16.54556,3,1
2023-06-01T15:30:00-00:00,2023-06-01T15:45:00-00:00,2023-06-01,09,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,17.05432,3,1
2023-06-01T16:30:00-00:00,2023-06-01T16:45:00-00:00,2023-06-01,10,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,13.30936,3,1
2023-06-01T17:30:00-00:00,2023-06-01T17:45:00-00:00,2023-06-01,11,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,14.97862,3,1
2023-06-01T18:30:00-00:00,2023-06-01T18:45:00-00:00,2023-06-01,12,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,17.27538,3,1
2023-06-01T19:30:00-00:00,2023-06-01T19:45:00-00:00,2023-06-01,13,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,17.12338,3,1
2023-06-01T20:30:00-00:00,2023-06-01T20:45:00-00:00,2023-06-01,14,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,17.03133,3,1
